sala_id;capacidad;tipo_sala;nombre_nivel
F-101;25;Teclado;Infantil
F-102;25;Regular;Infantil
F-103;25;Regular;Infantil
F-104;25;Regular;Infantil
B-101;33;Regular;Todos
B-102;33;Regular;Todos
B-103;33;Regular;Todos
B-104;33;Regular;Todos
B-105;33;Regular;Todos
B-201;33;Regular;Todos
B-202;33;Regular;Todos
B-203;33;Regular;Todos
B-204;33;Regular;Todos
B-205;33;Regular;Todos
A-302;25;Regular;Todos
A-303;20;Regular;Todos
A-304;20;Regular;Todos
A-305;20;Regular;Todos
D-217;30;Audio-visual;Todos
D-218;30;Teclado;Todos
E-101;200;Orquestal;Todos
C-101;200;Coral;Todos
