requisito_id;curso_id;materia_id;nivel;inscritos;nombre_materia;cantidad_docente;seccion;clase_compartida;tipo_materia;horas_semanales_tipicas;frecuencia_semanal;duracion_sesion_horas;horario_entrada;horario_salida;lunes;martes;miercoles;jueves;viernes
25001;1°Inf (A);CI-IC-001;Infantil;15;Canto Infantil;2;Todos;Individual;Regular;2;2;1;15:00:00;18:00:00;0;1;1;1;0
25006;1°Inf (B);CI-IC-001;Infantil;15;Canto Infantil;2;Todos;Individual;Regular;2;2;1;15:00:00;18:00:00;0;1;1;1;0
25002;1°Inf (A);TC-IC-001;Infantil;15;Teclado;1;Todos;Individual;Regular;2;2;1;15:00:00;18:00:00;0;1;1;1;0
25007;1°Inf (B);TC-IC-001;Infantil;15;Teclado;1;Todos;Individual;Regular;2;2;1;15:00:00;18:00:00;0;1;1;1;0
25003;1°Inf (A);CA-IC-001;Infantil;15;Creatividad Artistica;1;Todos;Individual;Regular;2;2;1;15:00:00;18:00:00;0;1;1;1;0
25008;1°Inf (B);CA-IC-001;Infantil;15;Creatividad Artistica;1;Todos;Individual;Regular;2;2;1;15:00:00;18:00:00;0;1;1;1;0
25004;1°Inf (A);RT-IC-001;Infantil;15;Ritmica Infantil;1;Todos;Individual;Regular;2;2;1;15:00:00;18:00:00;0;1;1;1;0
25009;1°Inf (B);RT-IC-001;Infantil;15;Ritmica Infantil;1;Todos;Individual;Regular;2;2;1;15:00:00;18:00:00;0;1;1;1;0
25005;1°Inf (A);AM-IC-001;Infantil;15;Apreciacion Musical;1;Todos;Individual;Regular;1;1;1;15:00:00;18:00:00;0;1;1;1;0
25010;1°Inf (B);AM-IC-001;Infantil;15;Apreciacion Musical;1;Todos;Individual;Regular;1;1;1;15:00:00;18:00:00;0;1;1;1;0
25011;2°Inf (A);RT-IC-002;Infantil;18;Ritmica Infantil;1;Todos;Individual;Regular;2;2;1;15:00:00;18:00:00;1;0;1;0;1
25016;2°Inf (B);RT-IC-002;Infantil;6;Ritmica Infantil;1;Todos;Individual;Regular;2;2;1;15:00:00;18:00:00;1;1;0;1;0
25012;2°Inf (A);TC-IC-002;Infantil;18;Teclado;1;Todos;Individual;Regular;2;2;1;15:00:00;18:00:00;1;0;1;0;1
25017;2°Inf (B);TC-IC-002;Infantil;6;Teclado;1;Todos;Individual;Regular;2;2;1;15:00:00;18:00:00;1;1;0;1;0
25013;2°Inf (A);CA-IC-002;Infantil;18;Creatividad Artistica;1;Todos;Individual;Regular;2;2;1;15:00:00;18:00:00;1;0;1;0;1
25018;2°Inf (B);CA-IC-002;Infantil;6;Creatividad Artistica;1;Todos;Individual;Regular;2;2;1;15:00:00;18:00:00;1;1;0;1;0
25014;2°Inf (A);AM-IC-002;Infantil;18;Apreciacion Musical;1;Todos;Individual;Regular;1;1;1;15:00:00;18:00:00;1;0;1;0;1
25019;2°Inf (B);AM-IC-002;Infantil;6;Apreciacion Musical;1;Todos;Individual;Regular;1;1;1;15:00:00;18:00:00;1;1;0;1;0
25015;2°Inf (A);CI-IC-002;Infantil;18;Canto Infantil;2;Todos;Individual;Regular;2;2;1;15:00:00;18:00:00;1;0;1;0;1
25020;2°Inf (B);CI-IC-002;Infantil;6;Canto Infantil;2;Todos;Individual;Regular;2;2;1;15:00:00;18:00:00;1;1;0;1;0
25021;3°Inf (A);RT-IC-003;Infantil;23;Ritmica Infantil;1;Todos;Individual;Regular;2;2;1;15:00:00;18:00:00;1;0;1;0;1
25027;3°Inf (B);RT-IC-003;Infantil;10;Ritmica Infantil;1;Todos;Individual;Regular;2;2;1;15:00:00;18:00:00;0;1;0;1;1
25022;3°Inf (A);TC-IC-003;Infantil;23;Teclado ;1;Todos;Individual;Regular;1;1;1;15:00:00;18:00:00;1;0;1;0;1
25028;3°Inf (B);TC-IC-003;Infantil;10;Teclado ;1;Todos;Individual;Regular;1;1;1;15:00:00;18:00:00;0;1;0;1;1
25023;3°Inf (A);DI-IC-001;Infantil;23;Desarrollo Intelectual;1;Todos;Individual;Regular;1;1;1;15:00:00;18:00:00;1;0;1;0;1
25029;3°Inf (B);DI-IC-001;Infantil;10;Desarrollo Intelectual;1;Todos;Individual;Regular;1;1;1;15:00:00;18:00:00;0;1;0;1;1
25024;3°Inf (A);AM-IC-003;Infantil;23;Apreciacion Musical;1;Todos;Individual;Regular;1;1;1;15:00:00;18:00:00;1;0;1;0;1
25030;3°Inf (B);AM-IC-003;Infantil;10;Apreciacion Musical;1;Todos;Individual;Regular;1;1;1;15:00:00;18:00:00;0;1;0;1;1
25025;3°Inf (A);CI-IC-003;Infantil;23;Canto Infantil;2;Todos;Individual;Regular;2;2;1;15:00:00;18:00:00;1;0;1;0;1
25031;3°Inf (B);CI-IC-003;Infantil;10;Canto Infantil;2;Todos;Individual;Regular;2;2;1;15:00:00;18:00:00;0;1;0;1;1
25026;3°Inf (A);FD-IC-001;Infantil;23;Flauta Dulce;1;Todos;Individual;Regular;2;2;1;15:00:00;18:00:00;1;0;1;0;1
25032;3°Inf (B);FD-IC-001;Infantil;10;Flauta Dulce;1;Todos;Individual;Regular;2;2;1;15:00:00;18:00:00;0;1;0;1;1
25033;1°Ini (A);SR-INC-001;Inicial;29;Solfeo-Ritmica;1;Todos;Individual;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25041;1°Ini (B);SR-INC-001;Inicial;28;Solfeo-Ritmica;1;Todos;Individual;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25034;1°Ini (A);LEM-INC-001;Inicial;29;Lecto-Escritura;1;Todos;Individual;Regular;1;1;1;15:00:00;19:00:00;1;0;1;0;1
25042;1°Ini (B);LEM-INC-001;Inicial;28;Lecto-Escritura;1;Todos;Individual;Regular;1;1;1;15:00:00;19:00:00;1;0;1;0;1
25035;1°Ini (A);FD-INC-001;Inicial;29;Flauta Dulce;1;Todos;Individual;Regular;1;1;1;15:00:00;19:00:00;1;0;1;0;1
25043;1°Ini (B);FD-INC-001;Inicial;28;Flauta Dulce;1;Todos;Individual;Regular;1;1;1;15:00:00;19:00:00;1;0;1;0;1
25036;1°Ini (A);TC-INC-001;Inicial;29;Teclado;1;Todos;Individual;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25044;1°Ini (B);TC-INC-001;Inicial;28;Teclado;1;Todos;Individual;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25037;1°Ini (A);AM-INC-001;Inicial;29;Apreciacion Musical;1;Todos;Individual;Regular;1;1;1;15:00:00;19:00:00;1;0;1;0;1
25045;1°Ini (B);AM-INC-001;Inicial;28;Apreciacion Musical;1;Todos;Individual;Regular;1;1;1;15:00:00;19:00:00;1;0;1;0;1
25038;1°Ini (A);DI-INC-001;Inicial;29;Desarrollo Intelectual;1;Todos;Individual;Regular;1;1;1;15:00:00;19:00:00;1;0;1;0;1
25046;1°Ini (B);DI-INC-001;Inicial;28;Desarrollo Intelectual;1;Todos;Individual;Regular;1;1;1;15:00:00;19:00:00;1;0;1;0;1
25039;1°Ini (A);PC-INC-001;Inicial;29;Practica Coral;2;Todos;Practica Coral;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25047;1°Ini (B);PC-INC-001;Inicial;28;Practica Coral;2;Todos;Practica Coral;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25040;1°Ini (A);INI-INC-001;Inicial;29;Iniciacion Instrumental;4;Todos;Individual;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25048;1°Ini (B);INI-INC-001;Inicial;28;Iniciacion Instrumental;4;Todos;Individual;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25049;2°Ini (A);SR-INC-002;Inicial;21;Solfeo-Ritmica;1;Todos;Individual;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25056;2°Ini (B);SR-INC-002;Inicial;21;Solfeo-Ritmica;1;Todos;Individual;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25050;2°Ini (A);LEM-INC-002;Inicial;21;Lecto-Escritura;1;Todos;Individual;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25057;2°Ini (B);LEM-INC-002;Inicial;21;Lecto-Escritura;1;Todos;Individual;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25051;2°Ini (A);FD-INC-002;Inicial;21;Flauta Dulce;1;Todos;Individual;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
25058;2°Ini (B);FD-INC-002;Inicial;21;Flauta Dulce;1;Todos;Individual;Regular;2;2;1;15:00:00;19:00:00;1;0;1;0;1
