requisito_id;profesor_id;sala_id;curso_id;materia_id;nombre_materia;tipo_materia;clase_compartida;frecuencia_semanal;duracion_sesion_horas;horas_semanales_tipicas;lunes;martes;miercoles;jueves;viernes;horario_entrada;horario_salida
25001;1004;F-102;1°Inf (A);CI-IC-001;Canto Infantil;Regular;Individual;2;1;2;0;1;1;1;0;15:00:00;18:00:00
25006;1004;F-104;1°Inf (B);CI-IC-001;Canto Infantil;Regular;Individual;2;1;2;0;1;1;1;0;15:00:00;18:00:00
25002;1025;F-101;1°Inf (A);TC-IC-001;Teclado;Regular;Individual;2;1;2;0;1;1;1;0;15:00:00;18:00:00
25007;1023;F-101;1°Inf (B);TC-IC-001;Teclado;Regular;Individual;2;1;2;0;1;1;1;0;15:00:00;18:00:00
25003;1026;F-104;1°Inf (A);CA-IC-001;Creatividad Artistica;Regular;Individual;2;1;2;0;1;1;1;0;15:00:00;18:00:00
25008;1023;F-102;1°Inf (B);CA-IC-001;Creatividad Artistica;Regular;Individual;2;1;2;0;1;1;1;0;15:00:00;18:00:00
25004;1006;F-102;1°Inf (A);RT-IC-001;Ritmica Infantil;Regular;Individual;2;1;2;0;1;1;1;0;15:00:00;18:00:00
25009;1006;F-102;1°Inf (B);RT-IC-001;Ritmica Infantil;Regular;Individual;2;1;2;0;1;1;1;0;15:00:00;18:00:00
25005;1023;F-103;1°Inf (A);AM-IC-001;Apreciacion Musical;Regular;Individual;1;1;1;0;1;1;1;0;15:00:00;18:00:00
25010;1025;F-103;1°Inf (B);AM-IC-001;Apreciacion Musical;Regular;Individual;1;1;1;0;1;1;1;0;15:00:00;18:00:00
25011;1006;F-102;2°Inf (A);RT-IC-002;Ritmica Infantil;Regular;Individual;2;1;2;1;0;1;0;1;15:00:00;18:00:00
25016;1006;F-102;2°Inf (B);RT-IC-002;Ritmica Infantil;Regular;Individual;2;1;2;1;1;0;1;0;15:00:00;18:00:00
25012;1026;F-101;2°Inf (A);TC-IC-002;Teclado;Regular;Individual;2;1;2;1;0;1;0;1;15:00:00;18:00:00
25017;1018;F-101;2°Inf (B);TC-IC-002;Teclado;Regular;Individual;2;1;2;1;1;0;1;0;15:00:00;18:00:00
25013;1018;F-104;2°Inf (A);CA-IC-002;Creatividad Artistica;Regular;Individual;2;1;2;1;0;1;0;1;15:00:00;18:00:00
25018;1014;F-104;2°Inf (B);CA-IC-002;Creatividad Artistica;Regular;Individual;2;1;2;1;1;0;1;0;15:00:00;18:00:00
25014;1011;F-103;2°Inf (A);AM-IC-002;Apreciacion Musical;Regular;Individual;1;1;1;1;0;1;0;1;15:00:00;18:00:00
25019;1011;F-103;2°Inf (B);AM-IC-002;Apreciacion Musical;Regular;Individual;1;1;1;1;1;0;1;0;15:00:00;18:00:00
